tweet_id,created_at,favorite_count,retweet_count,followers_count,profile_color,url,source
881633300179243008,Sun Jul 02 21:58:53 +0000 2017,116,7,8894575,,s,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
881536004380872706,Sun Jul 02 15:32:16 +0000 2017,45450,14195,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
881268444196462592,Sat Jul 01 21:49:04 +0000 2017,21414,4701,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
880935762899988482,Fri Jun 30 23:47:07 +0000 2017,15727,2484,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
880872448815771648,Fri Jun 30 19:35:32 +0000 2017,19574,3395,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
880465832366813184,Thu Jun 29 16:39:47 +0000 2017,26158,5515,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
880221127280381952,Thu Jun 29 00:27:25 +0000 2017,24769,3687,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
880095782870896641,Wed Jun 28 16:09:20 +0000 2017,25407,3862,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879862464715927552,Wed Jun 28 00:42:13 +0000 2017,20584,3089,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879674319642796034,Tue Jun 27 12:14:36 +0000 2017,292,10,8894575,,d,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879492040517615616,Tue Jun 27 00:10:17 +0000 2017,21601,2819,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879415818425184262,Mon Jun 26 19:07:24 +0000 2017,97212,39630,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879376492567855104,Mon Jun 26 16:31:08 +0000 2017,15495,2776,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879130579576475649,Mon Jun 26 00:13:58 +0000 2017,0,6049,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879050749262655488,Sun Jun 25 18:56:45 +0000 2017,20742,4175,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
879008229531029506,Sun Jun 25 16:07:47 +0000 2017,17501,2379,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878776093423087618,Sun Jun 25 00:45:22 +0000 2017,17835,3636,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878604707211726852,Sat Jun 24 13:24:20 +0000 2017,27658,6278,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878404777348136964,Sat Jun 24 00:09:53 +0000 2017,0,1131,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878316110768087041,Fri Jun 23 18:17:33 +0000 2017,0,5899,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878281511006478336,Fri Jun 23 16:00:04 +0000 2017,7112,1131,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
878057613040115712,Fri Jun 23 01:10:23 +0000 2017,38778,6049,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
877736472329191424,Thu Jun 22 03:54:17 +0000 2017,72823,16821,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
877611172832227328,Wed Jun 21 19:36:23 +0000 2017,0,71,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
877556246731214848,Wed Jun 21 15:58:08 +0000 2017,20904,3392,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
877316821321428993,Wed Jun 21 00:06:44 +0000 2017,25266,4633,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
877201837425926144,Tue Jun 20 16:29:50 +0000 2017,24965,4949,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
876838120628539392,Mon Jun 19 16:24:33 +0000 2017,19066,2966,8894575,,h,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
